ID	StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity
GSM437167	345.406697251603	1793.79524330932	2139.20194056092	0.606617655819988
GSM437168	-589.949363251452	791.233098177369	201.283734925918	0.805348433354175
GSM437169	-57.5062800672194	734.458635114956	676.952355047737	0.762028756806812
GSM437170	580.779930707479	1077.25335303874	1658.03328374621	0.661208915204342
GSM437171	1006.53781556794	2198.29610829509	3204.83392386303	0.475363085095793
GSM437172	128.23931272801	816.538047386546	944.777360114556	0.735989253132375
GSM437173	568.675557187338	901.694613694072	1470.37017088141	0.681621082370219
GSM437174	787.602585454194	781.056728005039	1568.65931345923	0.670993677704878
GSM437175	1257.64456764665	2123.38066865089	3381.02523629754	0.452452787214576
GSM437176	16.9047854915725	1176.10041755124	1193.00520304281	0.710838615910426
GSM437177	217.559434006775	580.485471758243	798.044905765018	0.7503989163101
GSM437178	867.977836896395	1921.71188422258	2789.68972111898	0.528060492516306
GSM437179	100.218199136827	495.068591541227	595.286790678054	0.769736280357861
GSM437180	770.119763781469	1256.60284201974	2026.72260580121	0.619660251094316
GSM437181	1174.01498979603	1979.71004423841	3153.72503403444	0.481949997323803
GSM437182	657.2691347024	890.106264145366	1547.37539884777	0.67330690169477
GSM437183	191.614854119756	1093.47197670329	1285.08683082305	0.701267062373021
GSM437184	-7.33780583692242	1369.5173427996	1362.17953696268	0.693154947409062
GSM437185	-254.96241681719	715.312808526107	460.350391708917	0.782228565651168
GSM437186	-142.276591999151	422.260539083997	279.983947084846	0.798446636720245
GSM437187	451.268396950405	1629.87693870076	2081.14533565116	0.613370511356179
GSM437188	530.681569289241	1001.47381233444	1532.15538162368	0.674957047366783
GSM437189	746.50694263658	1344.98685079374	2091.49379343032	0.612170078586807
GSM437190	984.25839148552	1357.35493153534	2341.61332302086	0.582732825509106
GSM437191	475.840924322589	1247.14909435513	1722.99001867772	0.654025871446304
GSM437192	619.445446189301	701.611412650241	1321.05685883954	0.69749321211174
GSM437193	195.05446103405	1605.0307053548	1800.08516638885	0.645423426434897
GSM437194	-345.502397843733	378.552467107618	33.0500692638849	0.819740485968491
GSM437195	495.528034102826	1069.4740750194	1565.00210912223	0.671391624453899
GSM437196	146.425750303634	1398.66212275034	1545.08787305398	0.673555128743823
GSM437197	262.323776466496	750.34083120921	1012.66460767571	0.729206543970622
GSM437198	1090.39645041887	1715.08894842282	2805.48539884168	0.526090085162002
GSM437199	1393.49750723903	1718.21160611487	3111.7091133539	0.487344708629474
GSM437200	773.940134583191	1008.9703419489	1782.91047653209	0.647347010681726
GSM437201	2053.72646919187	1774.97340488107	3828.69987407295	0.392915918584299
GSM437202	627.729212561129	1293.9071729989	1921.63638556003	0.631693016313112
GSM437203	822.65884126487	2545.46244948824	3368.12129075311	0.454141155039399
GSM437204	1727.74590333251	1511.93375476504	3239.67965809755	0.470856806325093
GSM437205	742.811559702597	1630.46272092967	2373.27428063226	0.578949722348106
GSM437206	249.540290246108	480.803932730034	730.344222976143	0.756930411055797
GSM437207	362.403986686059	880.418486492426	1242.82247317848	0.705676303115185
GSM437208	-2.87170916166425	679.846243747283	676.974534585618	0.762026648597159
GSM437209	1002.68308598222	2757.10104869295	3759.78413467516	0.402198099020746
GSM437210	640.559384863705	1413.44382054341	2054.00320540712	0.616512297727202
GSM437211	681.342242408224	1957.51656750146	2638.85880990968	0.546731168200503
GSM437212	91.1397408855631	1950.83049868613	2041.9702395717	0.617902023110963
GSM437213	16.8526720968687	980.358795329476	997.211467426345	0.730756878491239
GSM437214	869.023735984753	1487.74098530311	2356.76472128786	0.580923981257253
GSM437215	544.515830770824	1727.17632484811	2271.69215561893	0.59104285570029
GSM437216	-510.645210787541	603.60218403253	92.9569732449886	0.814672430815356
GSM437217	-264.1894401468	1144.76319968943	880.573759542635	0.742336691139593
GSM437218	-249.512951867235	637.927166302895	388.41421443566	0.788763248937086
GSM437219	-378.954893034982	1372.31725250236	993.362359467383	0.731142455198384
GSM437220	415.738431831787	1859.54091169919	2275.27934353097	0.590618031298602
GSM437221	274.774464270245	1434.86686988625	1709.64133415649	0.655506870802861
GSM437222	1399.24344400445	1970.59935927076	3369.84280327521	0.453916004315888
GSM437223	1201.965234546	1823.02422174061	3024.98945628661	0.49842039454043
GSM437224	188.544445353555	1203.5261748489	1392.07062020246	0.689985706961671
GSM437225	795.652406975311	2154.00907384882	2949.66148082413	0.507975672426471
GSM437226	2150.42278803377	2994.63053016843	5145.0533182022	0.209022214062064
GSM437227	518.463056214431	1567.88153202354	2086.34458823797	0.612767568933126
GSM437228	-112.259900008909	848.820417540836	736.560517531927	0.756333794502718
GSM437229	521.219972676521	2037.28813548178	2558.5081081583	0.556568585675931
GSM437230	-657.485275980897	356.152148131003	-301.333127849894	0.846853827133743
GSM437231	593.241264548725	755.395657379337	1348.63692192806	0.69458643168686
GSM437232	-84.628469862395	763.238806603549	678.610336741154	0.761871140050476
GSM437233	643.731432801299	977.154130664982	1620.88556346628	0.6652898062006
GSM437234	1152.44352954764	1493.99419361246	2646.4377231601	0.545799327573297
GSM437235	985.507816685409	1239.49188620561	2224.99970289102	0.596557569411483
GSM437236	-227.519747607127	545.257001870548	317.737254263422	0.795097897813315
GSM437237	122.269927033977	764.959521230576	887.229448264554	0.741681735357496
GSM437238	297.618262721011	896.996771530719	1194.61503425173	0.710672390045838
GSM437239	462.651264398374	942.196559131862	1404.84782353024	0.68862693142423
GSM437240	55.5685674532777	697.577070538269	753.145637991547	0.754738937026137
GSM437241	595.399400761962	790.370541746012	1385.76994250797	0.690654851330466
GSM437242	376.682662179066	510.32157352514	887.004235704206	0.741703909067468
GSM437243	675.398139265461	972.076570722285	1647.47470998775	0.662370840495655
GSM437244	117.754654702957	296.054396900156	413.809051603113	0.786466387668788
GSM437245	390.045862802598	1160.2656441882	1550.3115069908	0.672988183564018
GSM437246	-176.207979400481	776.89238548005	600.684406079569	0.76923025990885
GSM437247	660.175015911164	718.720882774776	1378.89589868594	0.691384214432618
GSM437248	-585.965873475071	289.230260727092	-296.735612747979	0.846494725408364
GSM437249	-103.447359627014	965.169130827731	861.721771200716	0.744187980962486
GSM437250	1196.45338098661	1775.14034158786	2971.59372257448	0.505199946759895
GSM437251	965.818302372336	1427.15485828686	2392.9731606592	0.576589627775424
GSM437252	-295.352023151846	1204.33714651447	908.985123362627	0.7395359235558
GSM437253	-529.740096820528	143.961179422719	-385.778917397808	0.853380930600783
GSM437254	511.952923272619	2054.14688136204	2566.09980463466	0.555642417358246
GSM437255	-198.456220391809	1495.55299563774	1297.09677524593	0.700009189604012
GSM437256	31.4654243682632	1491.52925781805	1522.99468218631	0.675948621683322
GSM437257	1089.71419274185	1469.37083458267	2559.08502732452	0.556498227206792
GSM437258	-18.029488641733	1355.41490779982	1337.38541915809	0.695773653028153
GSM437259	181.462945964542	1126.40126940075	1307.86421536529	0.698879601990012
GSM437260	308.939687076765	1704.13091730223	2013.070604379	0.621231850652378
GSM437261	-192.269383630768	1176.26833404922	983.99895041845	0.732079441280978
