ID	Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	otherCells
GSM437128	0.03063709580047	0.00822469511998337	0.127772508281137	0.0856558091173954	0.0908605929791649	0.00610591014950545	6.77886053589481e-10	0.650743387874458
GSM437129	0.0302483060343951	0.00792356290488414	0.132761354597177	0.0848657285878214	0.0883753485296321	0.00615872506877521	5.13301533574109e-10	0.649666973764013
GSM437130	0.0297141746852963	0.0090326189475123	0.127538498994296	0.0845450721452081	0.0926128415808768	0.00653034428923051	2.39981120181699e-10	0.650026449117599
GSM437131	0.0319740407385421	0.00832115061831391	0.127952968502244	0.08353360311949	0.0942367823672865	0.0061754651102686	7.71625618843849e-11	0.647805989466692
GSM437132	0.0296566624678102	0.00841114585743576	0.121642211837053	0.0832130449060603	0.0897115709258284	0.00607559146369464	8.04258137247921e-11	0.661289772461692
GSM437133	0.0306289335819443	0.00862152979006761	0.140719517207646	0.0871031220623386	0.0917837319031855	0.00710520839760472	5.10603064380384e-10	0.634037956546611
GSM437134	0.0303448424494186	0.00871605475400207	0.126872751829132	0.0839825699154821	0.0943807656864757	0.00627984600650691	1.11668137438602e-08	0.649423158192169
GSM437135	0.0300902419983155	0.00940850364486788	0.135990662819889	0.08042292045791	0.0961131495539863	0.00682806688728524	1.86702010345311e-09	0.641146452770726
GSM437136	0.0304543238162725	0.00860596161138545	0.128437220265063	0.0840207668633445	0.091578170713764	0.00598963028117127	6.71208955222733e-10	0.65091392577779
GSM437137	0.0295750691605507	0.00864709521378137	0.130505764253624	0.0826593698075325	0.0898057279581187	0.00647191520276262	3.49269875046052e-10	0.65233505805436
GSM437138	0.0298466610242698	0.00894517416605421	0.127235836158056	0.0806022099168664	0.093577262164266	0.00618697975772293	9.91069887694995e-10	0.653605875821695
GSM437139	0.0293248260977698	0.0087246934901	0.130165098445468	0.0832144793407646	0.0931282083563327	0.00661708582897561	2.19414701583423e-10	0.648825608221175
